__init_tls  0x40109140
__set_tls  0x4011d874
mmap  0x4010eced
sigaltstack  0x4011c2f8
__aeabi_unwind_cpp_pr0  0x401386ac
__thread_entry  0x401091f8
pthread_mutex_lock  0x4010a89c
pthread_mutex_destroy  0x4010ad14
pthread_exit  0x4010ae04
_init_thread  0x4010924c
pthread_cond_init  0x4010ad98
_pthread_internal_add  0x4010ef75
sched_setscheduler  0x4011d470
__errno  0x401104c5
strerror  0x4010f485
pthread_create  0x401092e8
calloc  0x40109ce1
pthread_mutex_init  0x4010a680
__pthread_clone  0x4011d8c4
pthread_mutex_unlock  0x4010a998
free  0x40109ccd
_thread_created_hook  0x4012091c
munmap  0x4011c4bc
pthread_attr_init  0x4010ed37
mprotect  0x4011c51c
pthread_key_create  0x40109780
pthread_key_delete  0x4010987c
pthread_getspecific  0x401099cc
pthread_setspecific  0x401099ec
fclose  0x40110511
get_malloc_leak_info  0x40109b49
dlmalloc  0x4010be71
dlfree  0x4010d2c9
qsort  0x40111f39
memset  0x4011e2c4
memcpy  0x4011e048
free_malloc_leak_info  0x40109c9d
mallinfo  0x40109ca1
dlmallinfo  0x4010dd01
valloc  0x40109cad
dlvalloc  0x4010da05
pvalloc  0x40109cb1
dlpvalloc  0x4010da2d
posix_memalign  0x40109cb5
dlposix_memalign  0x4010d9b7
malloc  0x40109cb9
__aeabi_unwind_cpp_pr1  0x401386a4
realloc  0x40109cf5
memalign  0x40109d09
malloc_usable_size  0x40109d1d
pthread_once  0x4010b040
_Z18InitMallocFunctionIPFPvjjEEvS0_PT_PKcS6_  0x40109d99
snprintf  0x40122779
__stack_chk_fail  0x4010df99
__system_property_get  0x4012acb1
atoi  0x40127d11
strstr  0x40127921
strcmp  0x4011e984
dlcalloc  0x4010d829
dlrealloc  0x4010d871
dlmemalign  0x4010d9a9
dlmalloc_usable_size  0x4010df75
__aeabi_uidiv  0x4013677c
gettid  0x4011bfa8
getpid  0x4011c474
__libc_init  0x4010a3e5
__cxa_atexit  0x40124d15
exit  0x40118871
__libc_fini  0x4010e33d
clock_gettime  0x4011cf14
__futex_wake_ex  0x4010a49c
__futex_syscall3  0x4011d978
__futex_wait_ex  0x4010a510
__futex_syscall4  0x4011d98c
__pthread_cleanup_push  0x4010a520
__get_thread  0x4010efb5
__pthread_cleanup_pop  0x4010a544
pthread_mutexattr_init  0x4010a574
pthread_mutexattr_destroy  0x4010a588
pthread_mutexattr_gettype  0x4010a5a0
pthread_mutexattr_settype  0x4010a5cc
pthread_mutexattr_setpshared  0x4010a610
pthread_mutexattr_getpshared  0x4010a658
pthread_mutex_trylock  0x4010aa80
pthread_mutex_lock_timeout_np  0x4010ad10
pthread_condattr_init  0x4010a574
pthread_condattr_getpshared  0x4010ad34
pthread_condattr_setpshared  0x4010ad58
pthread_condattr_destroy  0x4010ad7c
pthread_cond_destroy  0x4010add8
